Date: 2024-02-12 17:43:36, course_THB: 35.787, admin_course_THB: 35.787, user_course_THB: 35.787, course_THB: 35.787
 admin_course_rub: 92.37, user_course_THB: 92.37
Date: 2024-02-12 18:44:17, course_THB: 35.757, admin_course_THB: 35.757, user_course_THB: 35.757, course_THB: 35.757
 admin_course_rub: 92.44, user_course_THB: 92.44
Date: 2024-02-12 20:45:38, course_THB: 35.646, admin_course_THB: 35.646, user_course_THB: 35.646, course_THB: 35.646
 admin_course_rub: 92.45, user_course_THB: 92.45
Date: 2024-02-12 21:46:16, course_THB: 35.652, admin_course_THB: 35.652, user_course_THB: 35.652, course_THB: 35.652
 admin_course_rub: 92.49, user_course_THB: 92.49
Date: 2024-02-13 00:48:42, course_THB: 35.678, admin_course_THB: 35.678, user_course_THB: 35.678, course_THB: 35.678
 admin_course_rub: 92.59, user_course_THB: 92.59
Date: 2024-02-13 01:49:20, course_THB: 35.69, admin_course_THB: 35.69, user_course_THB: 35.69, course_THB: 35.69
 admin_course_rub: 92.52, user_course_THB: 92.52
Date: 2024-02-13 02:50:00, course_THB: 35.712, admin_course_THB: 35.712, user_course_THB: 35.712, course_THB: 35.712
 admin_course_rub: 92.66, user_course_THB: 92.66
Date: 2024-02-13 03:50:38, course_THB: 35.77, admin_course_THB: 35.77, user_course_THB: 35.77, course_THB: 35.77
 admin_course_rub: 92.72, user_course_THB: 92.72
Date: 2024-02-13 04:51:16, course_THB: 35.651, admin_course_THB: 35.651, user_course_THB: 35.651, course_THB: 35.651
 admin_course_rub: 92.62, user_course_THB: 92.62
Date: 2024-02-13 06:52:35, course_THB: 35.84, admin_course_THB: 35.84, user_course_THB: 35.84, course_THB: 35.84
 admin_course_rub: 92.47, user_course_THB: 92.47
Date: 2024-02-13 07:53:16, course_THB: 35.806, admin_course_THB: 35.806, user_course_THB: 35.806, course_THB: 35.806
 admin_course_rub: 92.5, user_course_THB: 92.5
Date: 2024-02-13 08:53:56, course_THB: 35.728, admin_course_THB: 35.728, user_course_THB: 35.728, course_THB: 35.728
 admin_course_rub: 92.53, user_course_THB: 92.53
Date: 2024-02-13 09:54:35, course_THB: 35.53, admin_course_THB: 35.53, user_course_THB: 35.53, course_THB: 35.53
 admin_course_rub: 92.5, user_course_THB: 92.5
Date: 2024-02-13 10:55:13, course_THB: 35.78, admin_course_THB: 35.78, user_course_THB: 35.78, course_THB: 35.78
 admin_course_rub: 92.54, user_course_THB: 92.54
Date: 2024-02-13 11:55:52, course_THB: 35.715, admin_course_THB: 35.715, user_course_THB: 35.715, course_THB: 35.715
 admin_course_rub: 92.54, user_course_THB: 92.54
Date: 2024-02-13 15:01:19, course_THB: 35.814, admin_course_THB: 35.814, user_course_THB: 35.814, course_THB: 35.814
 admin_course_rub: 92.37, user_course_THB: 92.37
Date: 2024-02-13 16:01:56, course_THB: 35.648, admin_course_THB: 35.648, user_course_THB: 35.648, course_THB: 35.648
 admin_course_rub: 92.37, user_course_THB: 92.37
Date: 2024-02-13 17:06:04, course_THB: 35.758, admin_course_THB: 35.758, user_course_THB: 35.758, course_THB: 35.758
 admin_course_rub: 92.39, user_course_THB: 92.39
Date: 2024-02-13 18:06:42, course_THB: 35.86, admin_course_THB: 35.86, user_course_THB: 35.86, course_THB: 35.86
 admin_course_rub: 92.34, user_course_THB: 92.34
Date: 2024-02-13 19:10:50, course_THB: 35.92, admin_course_THB: 35.92, user_course_THB: 35.92, course_THB: 35.92
 admin_course_rub: 92.38, user_course_THB: 92.38
Date: 2024-02-13 20:14:57, course_THB: 35.817, admin_course_THB: 35.817, user_course_THB: 35.817, course_THB: 35.817
 admin_course_rub: 92.38, user_course_THB: 92.38
Date: 2024-02-13 21:19:05, course_THB: 35.819, admin_course_THB: 35.819, user_course_THB: 35.819, course_THB: 35.819
 admin_course_rub: 92.45, user_course_THB: 92.45
Date: 2024-02-13 22:23:12, course_THB: 35.948, admin_course_THB: 35.948, user_course_THB: 35.948, course_THB: 35.948
 admin_course_rub: 92.37, user_course_THB: 92.37
Date: 2024-02-13 23:27:20, course_THB: 35.968, admin_course_THB: 35.968, user_course_THB: 35.968, course_THB: 35.968
 admin_course_rub: 92.41, user_course_THB: 92.41
Date: 2024-02-14 00:31:28, course_THB: 35.86, admin_course_THB: 35.86, user_course_THB: 35.86, course_THB: 35.86
 admin_course_rub: 92.49, user_course_THB: 92.49
Date: 2024-02-14 01:35:35, course_THB: 35.925, admin_course_THB: 35.925, user_course_THB: 35.925, course_THB: 35.925
 admin_course_rub: 92.43, user_course_THB: 92.43
Date: 2024-02-14 03:43:51, course_THB: 36.006, admin_course_THB: 36.006, user_course_THB: 36.006, course_THB: 36.006
 admin_course_rub: 92.52, user_course_THB: 92.52
Date: 2024-02-14 04:47:58, course_THB: 36.095, admin_course_THB: 36.095, user_course_THB: 36.095, course_THB: 36.095
 admin_course_rub: 92.48, user_course_THB: 92.48
Date: 2024-02-14 06:56:14, course_THB: 36.007, admin_course_THB: 36.007, user_course_THB: 36.007, course_THB: 36.007
 admin_course_rub: 92.52, user_course_THB: 92.52
Date: 2024-02-14 07:56:52, course_THB: 35.965, admin_course_THB: 35.965, user_course_THB: 35.965, course_THB: 35.965
 admin_course_rub: 92.47, user_course_THB: 92.47
Date: 2024-02-14 08:57:30, course_THB: 35.904, admin_course_THB: 35.904, user_course_THB: 35.904, course_THB: 35.904
 admin_course_rub: 92.45, user_course_THB: 92.45
Date: 2024-03-06 15:58:14, course_THB: 35.81, admin_course_THB: 35.81, user_course_THB: 35.81, course_THB: 35.81
 admin_course_rub: 93.74, user_course_THB: 93.74
Date: 2024-03-06 16:32:02, THB: 35.817, 
 RUB: 93.71Date: 2024-03-07 16:26:59, THB: 35.719, 
Date: 2024-03-14 23:10:35, THB: 35.986, 
 RUB: 95.42Date: 2024-03-15 00:10:56, THB: 35.977, 
 RUB: 95.58Date: 2024-03-15 03:11:47, THB: 35.962, 
 RUB: 95.62Date: 2024-03-15 06:12:31, THB: 35.973, 
 RUB: 95.58Date: 2024-03-15 06:12:57, THB: 35.973, 
 RUB: 95.58Date: 2024-03-15 07:12:53, THB: 36.076, 
 RUB: 95.63Date: 2024-03-15 10:13:38, THB: 35.971, 
 RUB: 96.37Date: 2024-03-15 10:14:04, THB: 35.971, 
 RUB: 96.32Date: 2024-03-15 12:14:29, THB: 35.899, 
 RUB: 96.56Date: 2024-03-15 13:14:44, THB: 35.815, 
 RUB: 96.43Date: 2024-03-15 14:14:46, THB: 35.824, 
 RUB: 96.17Date: 2024-03-15 14:15:12, THB: 35.815, 
 RUB: 96.17Date: 2024-03-15 15:15:16, THB: 35.773, 
 RUB: 96.08Date: 2024-03-15 16:15:36, THB: 35.806, 
 RUB: 96.3Date: 2024-03-15 17:15:53, THB: 35.849, 
 RUB: 96.26Date: 2024-03-15 17:16:18, THB: 35.849, 
 RUB: 96.28Date: 2024-03-15 18:16:18, THB: 35.898, 
 RUB: 96.59Date: 2024-03-15 18:16:40, THB: 35.898, 
 RUB: 96.59Date: 2024-03-15 20:17:08, THB: 36.007, 
 RUB: 96.89Date: 2024-03-15 21:16:57, THB: 35.97, 
 RUB: 97.26Date: 2024-03-15 22:17:21, THB: 35.949, 
 RUB: 97.23Date: 2024-03-16 00:17:46, THB: 36.036, 
 RUB: 97.42Date: 2024-03-16 00:18:11, THB: 36.036, 
 RUB: 97.42Date: 2024-03-16 02:18:19, THB: 36.029, 
 RUB: 97.1Date: 2024-03-16 02:18:57, THB: 36.029, 
 RUB: 97.13Date: 2024-03-16 03:18:40, THB: 36.021, 
 RUB: 97.01Date: 2024-03-16 03:19:18, THB: 36.021, 
 RUB: 97.01Date: 2024-03-16 04:19:39, THB: 36.078, 
 RUB: 97.29Date: 2024-03-16 05:19:54, THB: 35.958, 
 RUB: 96.81Date: 2024-03-16 06:19:26, THB: 35.979, 
 RUB: 96.89Date: 2024-03-16 07:20:36, THB: 35.88, 
 RUB: 96.95Date: 2024-03-16 09:21:00, THB: 35.985, 
 RUB: 96.85Date: 2024-03-16 10:20:22, THB: 36.034, 
 RUB: 96.97Date: 2024-03-16 11:20:44, THB: 35.835, 
 RUB: 96.92Date: 2024-03-16 12:22:03, THB: 35.841, 
 RUB: 96.92Date: 2024-03-16 13:22:21, THB: 35.804, 
 RUB: 96.56Date: 2024-03-16 14:21:32, THB: 35.842, 
 RUB: 96.15Date: 2024-03-16 15:21:49, THB: 36.082, 
 RUB: 96.48Date: 2024-03-16 16:23:16, THB: 35.98, 
 RUB: 96.36Date: 2024-03-16 17:22:15, THB: 36.09, 
 RUB: 96.11Date: 2024-03-16 17:23:39, THB: 36.114, 
 RUB: 96.08Date: 2024-03-16 18:22:39, THB: 36.088, 
 RUB: 96.27Date: 2024-03-16 18:24:04, THB: 36.08, 
 RUB: 96.27Date: 2024-03-16 19:23:02, THB: 35.9, 
 RUB: 96.23Date: 2024-03-16 19:24:28, THB: 35.9, 
 RUB: 96.25Date: 2024-03-16 20:23:28, THB: 35.999, 
 RUB: 96.47Date: 2024-03-16 21:23:44, THB: 35.967, 
 RUB: 96.46Date: 2024-03-16 22:24:04, THB: 36.1, 
 RUB: 96.58Date: 2024-03-16 22:25:39, THB: 36.1, 
 RUB: 96.61Date: 2024-03-16 23:24:32, THB: 36.014, 
 RUB: 96.85Date: 2024-03-17 00:24:52, THB: 36.043, 
 RUB: 96.85Date: 2024-03-17 02:25:24, THB: 36.283, 
 RUB: 96.72Date: 2024-03-17 03:26:52, THB: 36.116, 
 RUB: 96.79Date: 2024-03-17 04:25:49, THB: 35.786, 
 RUB: 96.7Date: 2024-03-17 04:27:16, THB: 35.786, 
 RUB: 96.75Date: 2024-03-17 05:27:36, THB: 35.75, 
 RUB: 96.68Date: 2024-03-17 06:26:13, THB: 35.851, 
 RUB: 96.74Date: 2024-03-17 07:28:06, THB: 35.878, 
 RUB: 96.94Date: 2024-03-17 09:26:57, THB: 35.875, 
 RUB: 96.88Date: 2024-03-17 09:28:32, THB: 35.924, 
 RUB: 96.87Date: 2024-03-17 10:27:21, THB: 35.9, 
 RUB: 96.83Date: 2024-03-17 10:28:57, THB: 35.9, 
 RUB: 96.85Date: 2024-03-17 11:29:14, THB: 35.879, 
 RUB: 96.83Date: 2024-03-17 12:28:17, THB: 35.89, 
 RUB: 96.96Date: 2024-03-17 13:29:44, THB: 35.877, 
 RUB: 96.93Date: 2024-03-17 14:29:02, THB: 35.973, 
 RUB: 96.88
